geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
04000US36,New York,19994380,,11749652,14482,3011116,11329,93384,3470,1767598,4880,9120,1016,1878496,20691,1485013,17432,883505,14202,601508,9910
86000US06390,"06390",53,39,33,33,0,13,0,13,0,13,8,16,9,19,3,7,0,13,3,7
86000US10001,"10001",27004,1827,15428,1696,2355,583,25,41,5031,774,0,25,1279,561,2886,723,1538,491,1348,571
86000US10002,"10002",76518,2894,23951,1688,6785,1318,415,265,28590,1973,24,45,9727,1157,7026,1673,3783,1511,3243,827
86000US10003,"10003",53877,2579,36515,2428,2899,748,51,52,9023,1065,27,32,1336,508,4026,639,2091,495,1935,505
86000US10004,"10004",4579,926,2653,605,266,142,0,13,1419,712,0,13,18,21,223,152,69,97,154,112
86000US10005,"10005",8801,1132,6233,1018,421,334,0,19,985,354,0,19,297,295,865,418,290,329,575,267
86000US10006,"10006",3736,497,2550,466,225,218,0,13,684,360,0,13,128,141,149,137,10,16,139,135
86000US10007,"10007",7506,1114,5471,1096,646,359,0,19,1201,626,0,19,110,135,78,86,32,40,46,79
86000US10009,"10009",58418,3009,32738,2376,4477,721,130,117,8106,1248,5,13,7185,1040,5777,1474,3238,1142,2539,744
86000US10010,"10010",32410,2681,21682,2315,2753,1120,75,69,5067,987,6,21,875,321,1952,549,993,399,959,374
86000US10011,"10011",50772,2368,37319,2119,2345,625,60,49,4519,938,0,31,2366,787,4163,819,1925,563,2238,592
86000US10012,"10012",21216,1420,14971,1241,598,396,59,98,3694,740,0,25,643,281,1251,389,502,246,749,245
86000US10013,"10013",29453,1909,17019,1744,964,323,52,49,8747,1300,0,25,761,260,1910,549,765,342,1145,401
86000US10014,"10014",29461,1737,24159,1514,650,350,48,67,1662,447,0,25,517,252,2425,690,1631,696,794,305
86000US10016,"10016",54369,3189,34711,2443,2603,537,27,34,10521,1281,15,10,831,322,5661,1324,3363,1255,2298,626
86000US10017,"10017",14486,1498,9949,1321,461,316,21,22,3035,502,40,66,247,276,733,427,142,139,591,392
86000US10018,"10018",8659,971,4425,766,544,241,29,56,2558,506,0,19,390,171,713,275,261,169,452,236
